Module,Feature Code,Feature Name,Source Evidence,VN Behavior,PH Action,Effort,Priority,Status,Notes
Admin Role,ADMIN-ROLE-01,Get list role,GET /roles (admin/router/role.go),List roles RBAC,Giữ nguyên,S,P0,Ready,
Admin Migration,ADMIN-MIG-01,Migration scripts,Multiple GET /migration/* (admin/router/migration.go),"15 migration scripts (content-flow, event-reward, content-analytics, etc.)","N/A - không cần cho PH (DB fresh)",-,-,Done-Cut,
i18n,I18N-01,Frontend creator i18n,frontend-green/src/locales (vi-VN.ts 86 dòng + tiếng Việt hard-code),Đa số tiếng Việt hard-code trong components,Replace + add EN + Filipino,L,P0,Partial,§A1 + §I18N-07 Filipino translation
i18n,I18N-02,Admin i18n,admin/src/locales (vi-VN.ts 405 dòng + tiếng Việt hard-code),Tiếng Việt hard-code,Replace → EN,L,P0,Ready,Admin chỉ EN
i18n,I18N-03,Backend error messages,internal/locale + service/social/* (tiếng Việt hard-code),Errors mixed Vietnamese hard-code + properties,Replace → EN + Filipino,M,P0,Partial,§I18N-07
i18n,I18N-04,Email templates,internal/module/smtp (tiếng Việt hard-code),Email VN,EN + Filipino templates,S,P0,Partial,
i18n,I18N-05,Date/Time format,frontend (dd/MM/yyyy),VN format,MM/dd/yyyy (PH convention),S,P0,Ready,
i18n,I18N-06,Number/Currency format,internal/util/format/currency.go: ToCurrencyVND,"đ + dấu chấm thousands","₱ + comma thousands + 2 decimals (centavos)",S,P0,Ready,
i18n,I18N-07,Filipino translation content,N/A,N/A,Cần native translator hoặc partner cung cấp text Filipino,L,P0,Blocked,§A1
i18n,I18N-08,Language toggle UI,Frontend không có toggle,Single language,Build mới - support EN + Filipino,S,P0,Ready,§A3
Phone Format,PHONE-01,Phone regex,internal/constants/constants.go:39 RegexPhoneNumber `^(0|\+84|84)(\d{9}|\d{10})$`,VN regex,`^(09|\+639|639)\d{9}$` PH 11 digits,S,P0,Ready,
Phone Format,PHONE-02,Phone format util,internal/format/string.go: ToPhoneVN (+84 strip),VN format,Generic theo region (+63),S,P0,Ready,
Currency,CUR-01,Currency formatter,internal/util/format/currency.go: ToCurrencyVND (`đ` no decimal dot thousands),VND format,PHP format (₱ + 2 decimals + comma),S,P0,Ready,
Currency,CUR-02,Currency stored in DB,Integer VND (existing schema),Integer VND,Integer centavos (₱1 = 100 centavos),M,P0,Ready,§E5
Branding,BRAND-01,VinFast Creator legacy cleanup,"Còn sót: README VINFAST CREATOR + email templates + assets Gen-G.png Green-Creator.png",Reference VinFast trong code/asset,Audit & xóa toàn bộ tham chiếu VinFast,S,P0,Ready,§I6
Branding,BRAND-02,Logo,frontend assets (Gen-G.png + Green-Creator.png),Logo Gen-Green VN,Asset GreenSM PH,S,P0,Ready,§B2 partner đã cung cấp KV + Brand Guidelines PDF
Branding,BRAND-03,Color palette,frontend theme,VN palette,Theo Brand Guideline GreenSM PH,S,P1,Ready,§B2
Branding,BRAND-04,Email signature footer,internal/module/smtp/templates,Tiếng Việt + Interspace VN,EN + GreenSM Philippines (Pasay City),S,P0,Ready,§K3
Branding,BRAND-05,Banner home + Campaign banner,FE assets,N/A,Banner 3:4 mobile + 20:8 desktop + 9:16 campaign,S,P0,Blocked,§B13 file thiết kế từ partner
Branding,BRAND-06,OG title + description,FE meta tags,Mặc định,Dịch từ trang Indo Gen-Green,S,P0,Blocked,§L1 + §L2
Branding,BRAND-07,GTM tracking,FE config,N/A,GTM-WTMZXPHC,S,P0,Ready,§B7
Branding,BRAND-08,Hashtag campaign default,Event config,Tùy event,#GreenSM,S,P0,Ready,§B8
Branding,BRAND-09,CTA Về Đối tác link,FE static,vinfast.vn,https://www.greengsm.ph/,S,P0,Ready,§B9
Branding,BRAND-10,Favicon,FE assets,Favicon VN,Favicon GreenSM PH,S,P0,Ready,§L5
Branding,BRAND-11,Font,FE theme,Default,Theo Brand Guideline,S,P0,Ready,§B6
Contact Info,CONTACT-01,Hotline,FE static / config,Hotline VN,02-7777-8080,S,P0,Ready,§K1
Contact Info,CONTACT-02,Email hỗ trợ,internal/module/smtp,support@vcreator.global,support.ph@greensm.com,S,P0,Ready,§K2
Contact Info,CONTACT-03,Địa chỉ công ty,FE static,Hà Nội,6TH FLOOR TWO E-COM CENTER PASAY CITY 1300,S,P0,Ready,§K3
Contact Info,CONTACT-04,Facebook page link,FE static,FB VN,facebook.com/greengsm.ph,S,P0,Ready,§B10
Contact Info,CONTACT-05,Materials/Media kit,FE static,Google Drive VN,Google Drive PH (folder GreenSM),S,P0,Ready,§B11
SMS,SMS-01,SMS provider,internal/service/otp.go: AccessTrade SMS (Zalo channel),AccessTrade SMS,SMS PH provider (TBD),M,P0,Blocked,§G1
SMS,SMS-02,SMS sender ID,SMS provider config,Brand ID VN,Đăng ký sender ID với telco PH,S,P0,Blocked,§G2
SMS,SMS-03,Bỏ Zalo channel,SMS_CHANNEL=Zalo (env),Zalo,Bỏ - dùng SMS thuần,S,P0,Ready,
Compliance,COMP-01,DPA 2012 consent flow,N/A (chưa có ở source),N/A,Build mới: registration + login consent checkboxes,M,P0,Blocked,Legal partner cung cấp consent text
Compliance,COMP-02,DPO appointment,N/A,N/A,Partner-side: appoint DPO trước launch,-,-,Blocked,§C3
Compliance,COMP-03,NPC registration,N/A,N/A,Partner-side: đăng ký NPC trước launch,-,-,Blocked,§C4
Infra,INFRA-01,Repo setup,N/A,vcreator,Tạo repo mới,S,P0,Blocked,§H1
Infra,INFRA-02,AWS account/cluster,N/A,Cùng AT VN account,IP 54.169.3.115 + cluster mới hoàn toàn,M,P0,Partial,IP có; chờ confirm AWS account
Infra,INFRA-03,MongoDB cluster,N/A,Atlas/self-hosted VN,Cluster mới + data fresh,M,P0,Blocked,§H4
Infra,INFRA-04,Redis,N/A,Redis VN,Instance mới,S,P0,Ready,
Infra,INFRA-05,MinIO storage,N/A,4 buckets VN,4 buckets mới (public/private/video/contract),S,P0,Ready,
Infra,INFRA-06,Domain & DNS,N/A,vcreator.global,gen-green.ph (Cloudflare DNS),S,P0,Ready,§B4 + §H5
Infra,INFRA-07,SSL/HTTPS,N/A,Có,Giữ nguyên,S,P0,Ready,
Infra,INFRA-08,Email service (SMTP),internal/module/smtp,AWS SES VN region,SES Singapore region (gen-green.ph),S,P0,Ready,
Infra,INFRA-09,CDN,N/A,TBD,Cloudflare hoặc CloudFront,S,P1,Pending,
CMS Content,CMS-01,Support article ID,Cần partner cung cấp,N/A,IDs cho dev + prod,S,P0,Blocked,§I11
CMS Content,CMS-02,Q&A article ID,Cần partner cung cấp,N/A,IDs cho dev + prod,S,P0,Blocked,§I11
CMS Content,CMS-03,Term article ID,Cần partner cung cấp,N/A,IDs cho dev + prod,S,P0,Blocked,§I11
CMS Content,CMS-04,Condition article ID,Cần partner cung cấp,N/A,IDs cho dev + prod,S,P0,Blocked,§I11
CMS Content,CMS-05,Partner ID slug,Partner config trên ambassador,N/A,gengreen,S,P0,Ready,§B5
CMS Content,CMS-06,Event ID,Event config trên ambassador,N/A,IDs cho dev + prod,S,P0,Blocked,§I12
